Taxonomy_node_ID	clusterName	Markers
CS1908210001	Inh L1-2 PAX6 CDH12	entrez:101927870|entrez:7048
CS1908210002	Inh L1-2 PAX6 TNFAIP8L3	entrez:102723487|entrez:221833
CS1908210003	Inh L1 LAMP5 NMBR	entrez:22987|entrez:79625
CS1908210004	Inh L1-4 LAMP5 LCP2	entrez:3815|entrez:594855
CS1908210005	Inh L1-2 LAMP5 DBP	entrez:140689|entrez:594855
CS1908210006	Inh L2-6 LAMP5 CA1	entrez:2070|entrez:55026
CS1908210007	Inh L1 SST CHRNA4	entrez:10512|entrez:162282|entrez:9547
CS1908210008	Inh L1-2 ADARB2 MC4R	entrez:158763|entrez:80332
CS1908210009	Inh L1-2 SST BAGE2	entrez:105377436|entrez:85319
CS1908210010	Inh L1-3 VIP SYT6	entrez:1268|entrez:345557
CS1908210011	Inh L1-2 VIP TSPAN12	entrez:100505474|entrez:1634
CS1908210012	Inh L1-4 VIP CHRNA6	entrez:101928923|entrez:285025
CS1908210013	Inh L1-3 VIP ADAMTSL1	entrez:117154|entrez:54510
CS1908210014	Inh L1-4 VIP PENK	entrez:105371331|entrez:93556
CS1908210015	Inh L2-6 VIP QPCT	entrez:3490|entrez:5121
CS1908210016	Inh L3-6 VIP HS3ST3A1	entrez:10788|entrez:25890
CS1908210017	Inh L1-2 VIP PCDH20	entrez:284|entrez:7432
CS1908210018	Inh L2-5 VIP SERPINF1	entrez:101929690|entrez:128553|entrez:6866
CS1908210019	Inh L2-5 VIP TYR	entrez:1306|entrez:6866
CS1908210020	Inh L1-3 VIP CHRM2	entrez:100421401|entrez:101060145
CS1908210021	Inh L2-4 VIP CBLN1	entrez:3358|entrez:4311
CS1908210022	Inh L1-3 VIP CCDC184	entrez:131096|entrez:256380
CS1908210023	Inh L1-3 VIP GGH	entrez:105375473|entrez:8836
CS1908210024	Inh L1-2 VIP LBH	entrez:105379146|entrez:642597
CS1908210025	Inh L2-3 VIP CASC6	entrez:101929083|entrez:105370456|entrez:220416
CS1908210026	Inh L2-4 VIP SPAG17	entrez:101929052|entrez:23657
CS1908210027	Inh L1-4 VIP OPRM1	entrez:101929690|entrez:5121|entrez:6581
CS1908210028	Inh L3-6 SST NPY	entrez:4852
CS1908210029	Inh L3-6 SST HPGD	entrez:26002|entrez:3248|entrez:375061
CS1908210030	Inh L4-6 SST B3GAT2	entrez:10874|entrez:158326|entrez:6866
CS1908210031	Inh L5-6 SST KLHDC8A	entrez:100996671|entrez:105377701
CS1908210032	Inh L5-6 SST NPM1P10	entrez:10418|entrez:2201
CS1908210033	Inh L4-6 SST GXYLT2	entrez:101929667|entrez:246213|entrez:84109
CS1908210034	Inh L4-5 SST STK32A	entrez:202374|entrez:6549
CS1908210035	Inh L1-3 SST CALB1	entrez:101929028
CS1908210036	Inh L3-5 SST ADGRG6	entrez:57211|entrez:8842
CS1908210037	Inh L2-4 SST FRZB	entrez:346007|entrez:4645|entrez:4842|entrez:60495
CS1908210038	Inh L5-6 SST TH	entrez:102724957|entrez:7054
CS1908210039	Inh L5-6 LHX6 GLP1R	entrez:10512|entrez:590|entrez:79974
CS1908210040	Inh L5-6 PVALB LGR5	entrez:340120|entrez:401478|entrez:79974
CS1908210041	Inh L4-5 PVALB MEPE	entrez:3082|entrez:56955|entrez:6696
CS1908210042	Inh L2-4 PVALB WFDC2	entrez:285195|entrez:6863
CS1908210043	Inh L4-6 PVALB SULF1	entrez:23213|entrez:79974
CS1908210044	Inh L5-6 SST MIR548F2	entrez:130574|entrez:2262|entrez:5074
CS1908210045	Inh L2-5 PVALB SCUBE3	entrez:1306|entrez:401478
