Taxonomy_node_ID	clusterName	Markers
CS202002013_123	n7	
CS202002013_179	n63	
CS202002013_235		ensembl:ENSMUSG00000062078
CS202002013_210	n94	
CS202002013_103	Endo	
CS202002013_183	n67	ensembl:ENSMUSG00000021708|ensembl:ENSMUSG00000028222|ensembl:ENSMUSG00000036264|ensembl:ENSMUSG00000038331|ensembl:ENSMUSG00000059173|ensembl:ENSMUSG00000059187|ensembl:ENSMUSG00000063626|ensembl:ENSMUSG00000100851
CS202002013_193	n77	ensembl:ENSMUSG00000022206|ensembl:ENSMUSG00000036264|ensembl:ENSMUSG00000038331|ensembl:ENSMUSG00000059173|ensembl:ENSMUSG00000063626|ensembl:ENSMUSG00000098760|ensembl:ENSMUSG00000100851
CS202002013_189	n73	ensembl:ENSMUSG00000034687|ensembl:ENSMUSG00000035357|ensembl:ENSMUSG00000036192|ensembl:ENSMUSG00000036264|ensembl:ENSMUSG00000038331|ensembl:ENSMUSG00000039037|ensembl:ENSMUSG00000040452|ensembl:ENSMUSG00000059173|ensembl:ENSMUSG00000059203|ensembl:ENSMUSG00000063626|ensembl:ENSMUSG00000100851
CS202002013_207	n91	ensembl:ENSMUSG00000004151|ensembl:ENSMUSG00000047907
CS202002013_197	n81	ensembl:ENSMUSG00000027849|ensembl:ENSMUSG00000029563|ensembl:ENSMUSG00000059173|ensembl:ENSMUSG00000078591|ensembl:ENSMUSG00000100851
CS202002013_69	L6 IT Car3	ensembl:ENSMUSG00000026826|ensembl:ENSMUSG00000036264|ensembl:ENSMUSG00000038331|ensembl:ENSMUSG00000042596|ensembl:ENSMUSG00000059173|ensembl:ENSMUSG00000059203|ensembl:ENSMUSG00000063626|ensembl:ENSMUSG00000100851
CS202002013_192	n76	ensembl:ENSMUSG00000016918|ensembl:ENSMUSG00000036264|ensembl:ENSMUSG00000038331|ensembl:ENSMUSG00000052430|ensembl:ENSMUSG00000059173|ensembl:ENSMUSG00000059203|ensembl:ENSMUSG00000063626|ensembl:ENSMUSG00000100851
CS202002013_203	n87	ensembl:ENSMUSG00000019997|ensembl:ENSMUSG00000027849|ensembl:ENSMUSG00000039714|ensembl:ENSMUSG00000059173|ensembl:ENSMUSG00000078591|ensembl:ENSMUSG00000100851
CS202002013_125	n9	ensembl:ENSMUSG00000010175|ensembl:ENSMUSG00000029819|ensembl:ENSMUSG00000052551|ensembl:ENSMUSG00000075270
CS202002013_209	n93	ensembl:ENSMUSG00000010175|ensembl:ENSMUSG00000052551
CS202002013_229	n113	ensembl:ENSMUSG00000026288
CS202002013_212	n96	
CS202002013_112	Peri	
CS202002013_233		ensembl:ENSMUSG00000005716|ensembl:ENSMUSG00000031772|ensembl:ENSMUSG00000033063|ensembl:ENSMUSG00000046178|ensembl:ENSMUSG00000087301|ensembl:ENSMUSG00000094083
CS202002013_111	SMC	
CS202002013_133	n17	ensembl:ENSMUSG00000010175|ensembl:ENSMUSG00000019772|ensembl:ENSMUSG00000044288|ensembl:ENSMUSG00000052551|ensembl:ENSMUSG00000058897
CS202002013_28	Sst Chodl	ensembl:ENSMUSG00000029361|ensembl:ENSMUSG00000046178|ensembl:ENSMUSG00000094083
CS202002013_232		ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000033063|ensembl:ENSMUSG00000042453|ensembl:ENSMUSG00000046178|ensembl:ENSMUSG00000094083
CS202002013_222	n106	
CS202002013_138	n22	ensembl:ENSMUSG00000010175|ensembl:ENSMUSG00000019772|ensembl:ENSMUSG00000052551
CS202002013_93	Astro Aqp4_Gfap	ensembl:ENSMUSG00000021318|ensembl:ENSMUSG00000026697|ensembl:ENSMUSG00000036949
CS202002013_94	Astro Aqp4_Slc7a10	ensembl:ENSMUSG00000021318|ensembl:ENSMUSG00000025537|ensembl:ENSMUSG00000030235|ensembl:ENSMUSG00000036949
CS202002013_92	Astro_Top2a	ensembl:ENSMUSG00000042489|ensembl:ENSMUSG00000098318
CS202002013_58	L2/3 IT_1	ensembl:ENSMUSG00000009376|ensembl:ENSMUSG00000021708|ensembl:ENSMUSG00000028222|ensembl:ENSMUSG00000033308|ensembl:ENSMUSG00000036264|ensembl:ENSMUSG00000036545|ensembl:ENSMUSG00000038331|ensembl:ENSMUSG00000059173|ensembl:ENSMUSG00000059187|ensembl:ENSMUSG00000063626|ensembl:ENSMUSG00000098097|ensembl:ENSMUSG00000100851
