defined_class	Marker_set_of	Minimal_markers	Brain_region_abbv	Species_abbv	Brain_region	Parent
http://purl.obolibrary.org/obo/PCL_0020501	Inh SST NPY	entrez:100385471	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020502	Inh LAMP5 COL5A2	entrez:100408865|entrez:100409063	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020503	Inh LAMP5 TOX2	entrez:100399252|entrez:100400741|entrez:100403212	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020504	Inh LAMP5 TRPC6	entrez:100395510|entrez:100396102	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020505	Inh LAMP5 WWP1	entrez:100395233|entrez:100411615	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020506	Inh LAMP5 LOC108591196	entrez:100411615|entrez:100894622	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020507	Inh PAX6 HMBOX1	entrez:100403212|entrez:100408455	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020508	Inh SNCG PLPPR1	entrez:100386462|entrez:100393865	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020509	Inh PAX6 ANKRD6	entrez:100392881|entrez:100393503|entrez:100393601	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020510	Inh VIP CYP19A1	entrez:100396765|entrez:103795617	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020511	Inh SNCG CNTN4	entrez:100395294|entrez:100400927|entrez:100407174	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020512	Inh PAX6 CDH4	entrez:100389893|entrez:100390248|entrez:100391230	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020513	Inh GAD1 PCP4	entrez:100391230|entrez:100409152	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020514	Inh GAD1 LOC108589948	entrez:100391230|entrez:108589948	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020515	Inh VIP THSD7B	entrez:100391230|entrez:103788553	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020516	Inh VIP LOC100397259	entrez:100400454|entrez:100410040	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020517	Inh GAD1 NPSR1	entrez:100403193|entrez:100403979	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020518	Inh SNCG LOC108587895	entrez:100386670|entrez:100402719|entrez:103793609	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020519	Inh VIP LOC108589153	entrez:100388729|entrez:100400056|entrez:100412882	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020520	Inh VIP FIGN	entrez:100396139|entrez:100397539|entrez:100405129	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020521	Inh VIP GPR149	entrez:100392579|entrez:100410040	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020522	Inh VIP LOC108588071	entrez:100410965|entrez:103791740	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020523	Inh VIP VAT1L	entrez:100386986|entrez:100408892|entrez:103795407	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020524	Inh VIP CIT	entrez:100399010|entrez:100407174|entrez:100412158	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020525	Inh VIP LOC108588539	entrez:103787232|entrez:108588539	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020526	Inh PAX6 MEIS2	entrez:100391273	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020527	Inh SST LOC108589054	entrez:100390937|entrez:100391230	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020528	Inh SST LOC108588801	entrez:100386530|entrez:100894622|entrez:108588801	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020529	Inh SST LOC103788138	entrez:100397590|entrez:100399252|entrez:100415258	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020530	Inh SST MPP5	entrez:100388718|entrez:100389466|entrez:100391304	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020531	Inh SST KIRREL3	entrez:100398934|entrez:100406302|entrez:100894622	M1	Marmoset	UBERON:0001384	SO:0001260
http://purl.obolibrary.org/obo/PCL_0020532	Inh SST LOC103788660	entrez:100402133|entrez:100415377|entrez:100894622	M1	Marmoset	UBERON:0001384	SO:0001260
